study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,2,141,deplete,congruent,control-deplete,0.1533,0.2654,0.4046
1,2,141,deplete,incongruent,control-deplete,0.1192,0.1243,0.5952
1,2,142,control,congruent,deplete-control,0.1271,0.3746,0.4998
1,2,142,control,incongruent,deplete-control,0.1373,0.3431,0.5919
1,1,142,deplete,congruent,deplete-control,0.1406,0.3894,0.4956
1,1,142,deplete,incongruent,deplete-control,0.1416,0.3299,0.5486
1,1,143,control,congruent,control-deplete,0.1538,0.2634,0.3602
1,1,143,control,incongruent,control-deplete,0.1216,0.2246,0.4161
1,2,143,deplete,congruent,control-deplete,0.1428,0.3335,0.3781
1,2,143,deplete,incongruent,control-deplete,0.1381,0.2875,0.404
1,2,144,control,congruent,deplete-control,0.1312,0.278,0.4082
1,2,144,control,incongruent,deplete-control,0.1195,0.2774,0.4695
1,1,144,deplete,congruent,deplete-control,0.129,0.3134,0.4055
1,1,144,deplete,incongruent,deplete-control,0.1114,0.2286,0.4853
1,1,145,control,congruent,control-deplete,0.1302,0.3105,0.4338
1,1,145,control,incongruent,control-deplete,0.0927,0.1069,0.5993
1,2,145,deplete,congruent,control-deplete,0.1446,0.3287,0.4022
1,2,145,deplete,incongruent,control-deplete,0.0852,0.1091,0.5705
1,1,147,control,congruent,control-deplete,0.1453,0.3746,0.3651
1,1,147,control,incongruent,control-deplete,0.1068,0.2098,0.4224
1,2,147,deplete,congruent,control-deplete,0.1441,0.3764,0.3542
1,2,147,deplete,incongruent,control-deplete,0.1238,0.3074,0.3807
1,2,148,control,congruent,deplete-control,0.1292,0.278,0.4182
1,2,148,control,incongruent,deplete-control,0.1111,0.1408,0.4941
1,1,148,deplete,congruent,deplete-control,0.2035,0.234,0.3284
1,1,148,deplete,incongruent,deplete-control,0.1299,0.1803,0.5198
1,2,150,control,congruent,deplete-control,0.1504,0.3608,0.4876
1,2,150,control,incongruent,deplete-control,0.0998,0.1818,0.6668
1,1,150,deplete,congruent,deplete-control,0.1731,0.3112,0.4938
1,1,150,deplete,incongruent,deplete-control,0.0949,0.1461,0.6782
1,1,151,control,congruent,control-deplete,0.1126,0.2614,0.3417
1,1,151,control,incongruent,control-deplete,0.0979,0.0492,0.3447
1,2,151,deplete,congruent,control-deplete,0.12,0.2423,0.3971
1,2,151,deplete,incongruent,control-deplete,0.1048,0.0497,0.4329
1,2,152,control,congruent,deplete-control,0.0867,0.3156,0.4139
